campaign,creative,total_payments,total_ltv,avg_late_payment_share,monetization_efficiency
campaign_138,creative_331,95,1349.60,0.913,14.21
campaign_446,creative_328,68,774.87,1.000,11.40
campaign_140,creative_331,90,720.07,0.992,8.00
campaign_432,creative_977,30,708.78,1.000,23.63
campaign_285,creative_639,60,708.47,0.821,11.81
campaign_141,creative_331,16,703.85,0.911,43.99
campaign_432,creative_982,36,682.42,0.946,18.96
campaign_432,creative_978,23,645.17,1.000,28.05
campaign_284,creative_644,35,629.31,1.000,17.98
campaign_38,creative_111,72,623.64,0.847,8.66
campaign_149,creative_381,16,603.93,1.000,37.75
campaign_139,creative_331,27,603.61,0.955,22.36
campaign_202,creative_327,100,602.46,0.974,6.02
campaign_151,creative_369,25,602.19,1.000,24.09
campaign_149,creative_379,32,601.16,1.000,18.79
campaign_84,creative_255,11,571.66,0.917,51.97
campaign_151,creative_388,15,566.93,0.889,37.80
campaign_151,creative_372,22,555.76,1.000,25.26
campaign_195,creative_324,27,546.19,1.000,20.23
campaign_433,creative_976,10,533.63,1.000,53.36
campaign_151,creative_391,13,500.12,0.875,38.47
campaign_137,creative_331,28,497.99,1.000,17.79
campaign_149,creative_368,21,493.65,1.000,23.51
campaign_202,creative_332,13,483.44,1.000,37.19
campaign_35,creative_96,50,478.90,0.714,9.58
campaign_149,creative_384,13,475.73,1.000,36.59
campaign_432,creative_981,16,461.50,1.000,28.84
campaign_298,creative_704,8,454.68,1.000,56.84
campaign_545,creative_1241,11,444.41,1.000,40.40
campaign_71,creative_203,43,423.33,0.948,9.84
campaign_83,creative_248,8,420.70,1.000,52.59
campaign_35,creative_100,24,418.12,1.000,17.42
campaign_71,creative_209,41,411.88,1.000,10.05
campaign_195,creative_521,12,407.41,0.889,33.95
campaign_202,creative_330,9,395.62,1.000,43.96
campaign_28,creative_78,21,395.39,0.964,18.83
campaign_149,creative_383,12,387.45,1.000,32.29
campaign_357,creative_236,35,384.24,1.000,10.98
campaign_553,creative_1267,4,383.19,1.000,95.80
campaign_276,creative_652,7,381.90,1.000,54.56
campaign_83,creative_249,10,379.30,1.000,37.93
campaign_192,creative_327,40,377.43,0.838,9.44
campaign_151,creative_396,8,375.04,1.000,46.88
campaign_195,creative_327,59,370.35,0.982,6.28
campaign_192,creative_332,12,368.93,0.950,30.74
campaign_432,creative_980,12,368.19,1.000,30.68
campaign_38,creative_113,34,365.94,0.975,10.76
campaign_285,creative_646,20,364.18,1.000,18.21
campaign_38,creative_110,26,361.39,0.833,13.90
campaign_151,creative_389,10,357.71,1.000,35.77
campaign_287,creative_677,15,353.50,0.854,23.57
campaign_84,creative_256,8,353.34,1.000,44.17
campaign_452,creative_1043,21,349.71,1.000,16.65
campaign_156,creative_375,14,345.62,1.000,24.69
campaign_357,creative_844,6,345.17,1.000,57.53
campaign_202,creative_324,22,344.38,1.000,15.65
campaign_60,creative_182,13,344.29,1.000,26.48
campaign_151,creative_374,11,341.27,1.000,31.02
campaign_35,creative_97,11,338.35,1.000,30.76
campaign_156,creative_396,52,334.61,1.000,6.43
campaign_199,creative_442,24,326.49,1.000,13.60
campaign_324,creative_235,26,326.11,1.000,12.54
campaign_189,creative_327,12,325.00,1.000,27.08
campaign_369,creative_869,20,321.55,1.000,16.08
campaign_436,creative_1006,13,319.22,1.000,24.56
campaign_196,creative_333,14,318.16,0.963,22.73
campaign_207,creative_331,36,316.94,1.000,8.80
campaign_452,creative_1040,49,314.98,1.000,6.43
campaign_151,creative_394,7,312.60,1.000,44.66
campaign_432,creative_976,7,311.86,1.000,44.55
campaign_84,creative_257,4,311.70,1.000,77.93
campaign_287,creative_680,16,311.60,1.000,19.48
campaign_151,creative_367,11,311.07,1.000,28.28
campaign_324,creative_236,45,309.95,1.000,6.89
campaign_35,creative_95,19,306.91,1.000,16.15
campaign_192,creative_324,29,306.15,1.000,10.56
campaign_455,creative_329,20,301.20,1.000,15.06
campaign_149,creative_378,9,298.97,1.000,33.22
campaign_432,creative_974,6,298.55,1.000,49.76
campaign_53,creative_155,5,292.44,1.000,58.49
campaign_59,creative_181,20,289.45,1.000,14.47
campaign_4,creative_6,6,288.87,1.000,48.15
campaign_74,creative_213,13,288.85,1.000,22.22
campaign_432,creative_983,13,287.98,1.000,22.15
campaign_30,creative_81,21,285.33,1.000,13.59
campaign_436,creative_997,4,285.08,1.000,71.27
campaign_298,creative_705,26,284.44,0.800,10.94
campaign_456,creative_1043,36,283.19,0.987,7.87
campaign_561,creative_1298,17,281.16,0.952,16.54
campaign_2,creative_1,4,279.89,1.000,69.97
campaign_369,creative_819,31,279.62,0.983,9.02
campaign_35,creative_98,4,278.14,1.000,69.53
campaign_38,creative_115,6,276.18,1.000,46.03
campaign_71,creative_210,15,275.51,1.000,18.37
campaign_466,creative_1067,2,274.93,1.000,137.47
campaign_446,creative_1031,26,274.82,0.981,10.57
campaign_142,creative_365,8,272.43,1.000,34.05
campaign_136,creative_350,30,272.00,1.000,9.07
campaign_285,creative_640,14,270.40,1.000,19.31
campaign_565,creative_1308,29,268.91,0.947,9.27
campaign_149,creative_380,8,264.53,1.000,33.07
campaign_224,creative_573,16,263.85,1.000,16.49
campaign_143,creative_368,4,263.76,1.000,65.94
campaign_564,creative_1306,2,261.43,1.000,130.72
campaign_148,creative_373,13,259.89,0.667,19.99
campaign_116,creative_304,18,259.24,0.714,14.40
campaign_432,creative_979,10,259.00,1.000,25.90
campaign_432,creative_975,10,257.74,0.857,25.77
campaign_60,creative_181,49,257.16,0.975,5.25
campaign_149,creative_371,13,255.93,1.000,19.69
campaign_151,creative_397,8,254.98,1.000,31.87
campaign_561,creative_1300,2,254.91,1.000,127.45
campaign_151,creative_307,9,254.69,1.000,28.30
campaign_298,creative_703,5,254.12,1.000,50.82
campaign_83,creative_251,4,254.01,1.000,63.50
campaign_196,creative_336,9,253.26,1.000,28.14
