campaign_rank,campaign,total_payments,total_ltv,revenue_share_pct,cumulative_revenue_share_pct,pareto_segment
1,campaign_151,186,6248.97,2.84,2.84,Top revenue concentration
2,campaign_432,176,4706.71,2.14,4.99,Top revenue concentration
3,campaign_149,150,4163.01,1.89,6.88,Top revenue concentration
4,campaign_38,194,2827.56,1.29,8.17,Top revenue concentration
5,campaign_202,168,2563.18,1.17,9.33,Top revenue concentration
6,campaign_436,62,2317.84,1.05,10.39,Top revenue concentration
7,campaign_35,121,2251.14,1.02,11.41,Top revenue concentration
8,campaign_285,123,2188.84,1.00,12.41,Top revenue concentration
9,campaign_369,190,2163.33,0.98,13.39,Top revenue concentration
10,campaign_207,160,2073.67,0.94,14.34,Top revenue concentration
11,campaign_71,124,2004.46,0.91,15.25,Top revenue concentration
12,campaign_138,111,1987.46,0.90,16.15,Top revenue concentration
13,campaign_545,67,1962.90,0.89,17.05,Top revenue concentration
14,campaign_357,130,1934.04,0.88,17.93,Top revenue concentration
15,campaign_84,38,1896.32,0.86,18.79,Top revenue concentration
16,campaign_195,112,1863.50,0.85,19.64,Top revenue concentration
17,campaign_192,106,1848.11,0.84,20.48,Top revenue concentration
18,campaign_156,115,1698.88,0.77,21.25,Top revenue concentration
19,campaign_60,98,1602.22,0.73,21.98,Top revenue concentration
20,campaign_190,85,1572.14,0.72,22.70,Top revenue concentration
21,campaign_191,97,1465.27,0.67,23.36,Top revenue concentration
22,campaign_196,159,1464.82,0.67,24.03,Top revenue concentration
23,campaign_139,74,1456.56,0.66,24.69,Top revenue concentration
24,campaign_136,122,1437.25,0.65,25.35,Top revenue concentration
25,campaign_455,119,1404.08,0.64,25.99,Top revenue concentration
26,campaign_140,131,1379.05,0.63,26.61,Top revenue concentration
27,campaign_287,56,1341.38,0.61,27.22,Top revenue concentration
28,campaign_456,112,1325.13,0.60,27.83,Top revenue concentration
29,campaign_83,29,1324.76,0.60,28.43,Top revenue concentration
30,campaign_388,38,1319.90,0.60,29.03,Top revenue concentration
31,campaign_324,112,1278.20,0.58,29.61,Top revenue concentration
32,campaign_203,154,1254.94,0.57,30.18,Top revenue concentration
33,campaign_298,51,1252.40,0.57,30.75,Top revenue concentration
34,campaign_53,55,1219.80,0.56,31.31,Top revenue concentration
35,campaign_52,64,1175.84,0.54,31.84,Top revenue concentration
36,campaign_446,97,1175.12,0.53,32.38,Top revenue concentration
37,campaign_143,24,1164.32,0.53,32.91,Top revenue concentration
38,campaign_204,112,1136.49,0.52,33.42,Top revenue concentration
39,campaign_59,50,1134.13,0.52,33.94,Top revenue concentration
40,campaign_570,31,1131.44,0.51,34.46,Top revenue concentration
41,campaign_142,30,1121.34,0.51,34.97,Top revenue concentration
42,campaign_565,57,1119.11,0.51,35.48,Top revenue concentration
43,campaign_124,49,1116.12,0.51,35.98,Top revenue concentration
44,campaign_125,27,1107.77,0.50,36.49,Top revenue concentration
45,campaign_327,164,1081.89,0.49,36.98,Top revenue concentration
46,campaign_561,40,1051.09,0.48,37.46,Top revenue concentration
47,campaign_468,36,1048.52,0.48,37.93,Top revenue concentration
48,campaign_141,24,1023.98,0.47,38.40,Top revenue concentration
49,campaign_55,56,1012.02,0.46,38.86,Top revenue concentration
50,campaign_144,25,999.95,0.46,39.32,Top revenue concentration
51,campaign_201,101,952.63,0.43,39.75,Top revenue concentration
52,campaign_284,41,949.55,0.43,40.18,Top revenue concentration
53,campaign_74,76,927.90,0.42,40.60,Top revenue concentration
54,campaign_452,76,907.69,0.41,41.02,Top revenue concentration
55,campaign_459,83,903.97,0.41,41.43,Top revenue concentration
56,campaign_148,41,899.45,0.41,41.84,Top revenue concentration
57,campaign_553,34,882.32,0.40,42.24,Top revenue concentration
58,campaign_44,59,881.73,0.40,42.64,Top revenue concentration
59,campaign_276,19,879.42,0.40,43.04,Top revenue concentration
60,campaign_551,33,876.56,0.40,43.44,Top revenue concentration
61,campaign_116,30,873.95,0.40,43.84,Top revenue concentration
62,campaign_103,66,858.19,0.39,44.23,Top revenue concentration
63,campaign_336,140,852.25,0.39,44.62,Top revenue concentration
64,campaign_193,53,840.39,0.38,45.00,Top revenue concentration
65,campaign_130,21,836.50,0.38,45.38,Top revenue concentration
66,campaign_563,31,830.99,0.38,45.76,Top revenue concentration
67,campaign_564,21,814.47,0.37,46.13,Top revenue concentration
68,campaign_451,26,804.26,0.37,46.49,Top revenue concentration
69,campaign_137,51,801.36,0.36,46.86,Top revenue concentration
70,campaign_467,50,798.72,0.36,47.22,Top revenue concentration
71,campaign_272,40,776.18,0.35,47.58,Top revenue concentration
72,campaign_364,76,770.60,0.35,47.93,Top revenue concentration
73,campaign_123,40,761.46,0.35,48.27,Top revenue concentration
74,campaign_189,35,759.21,0.35,48.62,Top revenue concentration
75,campaign_186,108,755.51,0.34,48.96,Top revenue concentration
76,campaign_554,33,737.90,0.34,49.30,Top revenue concentration
77,campaign_378,31,736.06,0.33,49.63,Top revenue concentration
78,campaign_281,41,734.88,0.33,49.97,Top revenue concentration
79,campaign_454,51,728.08,0.33,50.30,Top revenue concentration
80,campaign_371,28,727.20,0.33,50.63,Top revenue concentration
81,campaign_437,38,708.56,0.32,50.95,Top revenue concentration
82,campaign_152,22,707.34,0.32,51.27,Top revenue concentration
83,campaign_557,31,702.92,0.32,51.59,Top revenue concentration
84,campaign_433,13,692.21,0.32,51.91,Top revenue concentration
85,campaign_63,44,684.71,0.31,52.22,Top revenue concentration
86,campaign_199,60,683.84,0.31,52.53,Top revenue concentration
87,campaign_321,54,682.77,0.31,52.84,Top revenue concentration
88,campaign_87,157,666.64,0.30,53.15,Top revenue concentration
89,campaign_28,29,665.77,0.30,53.45,Top revenue concentration
90,campaign_104,11,659.47,0.30,53.75,Top revenue concentration
91,campaign_100,17,654.87,0.30,54.05,Top revenue concentration
92,campaign_224,42,653.75,0.30,54.34,Top revenue concentration
93,campaign_30,35,650.25,0.30,54.64,Top revenue concentration
94,campaign_42,48,646.76,0.29,54.93,Top revenue concentration
95,campaign_95,50,646.26,0.29,55.23,Top revenue concentration
96,campaign_345,29,645.46,0.29,55.52,Top revenue concentration
97,campaign_522,26,642.90,0.29,55.81,Top revenue concentration
98,campaign_315,48,637.81,0.29,56.10,Top revenue concentration
99,campaign_314,36,632.62,0.29,56.39,Top revenue concentration
100,campaign_37,54,622.04,0.28,56.68,Top revenue concentration
101,campaign_173,52,610.37,0.28,56.95,Top revenue concentration
102,campaign_346,37,608.89,0.28,57.23,Top revenue concentration
103,campaign_524,22,607.26,0.28,57.51,Top revenue concentration
104,campaign_7,29,606.72,0.28,57.78,Top revenue concentration
105,campaign_78,38,599.96,0.27,58.06,Top revenue concentration
106,campaign_384,49,586.50,0.27,58.32,Top revenue concentration
107,campaign_366,30,583.14,0.27,58.59,Top revenue concentration
108,campaign_216,71,571.56,0.26,58.85,Top revenue concentration
109,campaign_99,45,570.69,0.26,59.11,Top revenue concentration
110,campaign_91,29,570.42,0.26,59.37,Top revenue concentration
111,campaign_361,31,556.07,0.25,59.62,Top revenue concentration
112,campaign_306,41,549.57,0.25,59.87,Top revenue concentration
113,campaign_111,34,549.11,0.25,60.12,Top revenue concentration
114,campaign_449,29,545.88,0.25,60.37,Top revenue concentration
115,campaign_187,32,535.67,0.24,60.61,Top revenue concentration
116,campaign_41,49,525.52,0.24,60.85,Top revenue concentration
117,campaign_289,20,525.25,0.24,61.09,Top revenue concentration
118,campaign_316,24,521.95,0.24,61.33,Top revenue concentration
119,campaign_198,26,521.07,0.24,61.57,Top revenue concentration
120,campaign_450,38,518.54,0.24,61.80,Top revenue concentration
121,campaign_122,27,513.34,0.23,62.04,Top revenue concentration
122,campaign_180,22,508.73,0.23,62.27,Top revenue concentration
123,campaign_194,29,507.08,0.23,62.50,Top revenue concentration
124,campaign_5,25,505.93,0.23,62.73,Top revenue concentration
125,campaign_131,12,503.23,0.23,62.96,Top revenue concentration
126,campaign_4,12,502.68,0.23,63.19,Top revenue concentration
127,campaign_271,56,497.58,0.23,63.41,Top revenue concentration
128,campaign_160,21,496.03,0.23,63.64,Top revenue concentration
129,campaign_566,20,493.17,0.22,63.86,Top revenue concentration
130,campaign_257,19,490.70,0.22,64.09,Top revenue concentration
131,campaign_165,30,490.14,0.22,64.31,Top revenue concentration
132,campaign_354,30,488.35,0.22,64.53,Top revenue concentration
133,campaign_311,63,485.00,0.22,64.75,Top revenue concentration
134,campaign_359,45,476.64,0.22,64.97,Top revenue concentration
135,campaign_568,24,476.26,0.22,65.19,Top revenue concentration
136,campaign_462,38,470.99,0.21,65.40,Top revenue concentration
137,campaign_109,42,470.27,0.21,65.61,Top revenue concentration
