campaign,total_payments,total_ltv,avg_late_payment_share,monetization_efficiency
campaign_151,186,6248.97,0.9813,33.60
campaign_432,176,4706.71,0.9640,26.74
campaign_149,150,4163.01,1.0000,27.75
campaign_38,194,2827.56,0.8879,14.58
campaign_202,168,2563.18,0.9943,15.26
campaign_436,62,2317.84,1.0000,37.38
campaign_35,121,2251.14,0.9000,18.60
campaign_285,123,2188.84,0.9506,17.80
campaign_369,190,2163.33,0.9525,11.39
campaign_207,160,2073.67,0.9750,12.96
campaign_71,124,2004.46,0.9548,16.17
campaign_138,111,1987.46,0.9381,17.91
campaign_545,67,1962.90,1.0000,29.30
campaign_357,130,1934.04,0.9561,14.88
campaign_84,38,1896.32,0.9111,49.90
campaign_195,112,1863.50,0.9589,16.64
campaign_192,106,1848.11,0.9667,17.44
campaign_156,115,1698.88,1.0000,14.77
campaign_60,98,1602.22,0.9218,16.35
campaign_190,85,1572.14,0.9048,18.50
campaign_191,97,1465.27,0.9659,15.11
campaign_196,159,1464.82,0.9255,9.21
campaign_139,74,1456.56,0.9251,19.68
campaign_136,122,1437.25,0.9957,11.78
campaign_455,119,1404.08,0.9966,11.80
campaign_140,131,1379.05,0.9668,10.53
campaign_287,56,1341.38,0.9069,23.95
campaign_456,112,1325.13,0.9761,11.83
campaign_83,29,1324.76,0.9091,45.68
campaign_388,38,1319.90,1.0000,34.73
campaign_324,112,1278.20,1.0000,11.41
campaign_203,154,1254.94,0.9954,8.15
campaign_298,51,1252.40,0.9143,24.56
campaign_53,55,1219.80,1.0000,22.18
campaign_52,64,1175.84,1.0000,18.37
campaign_446,97,1175.12,0.9965,12.11
campaign_143,24,1164.32,1.0000,48.51
campaign_204,112,1136.49,0.9808,10.15
campaign_59,50,1134.13,1.0000,22.68
campaign_570,31,1131.44,0.9231,36.50
campaign_142,30,1121.34,1.0000,37.38
campaign_565,57,1119.11,0.8459,19.63
campaign_124,49,1116.12,0.8429,22.78
campaign_125,27,1107.77,0.9800,41.03
campaign_327,164,1081.89,0.9847,6.60
campaign_561,40,1051.09,0.7969,26.28
campaign_468,36,1048.52,1.0000,29.13
campaign_141,24,1023.98,0.9467,42.67
campaign_55,56,1012.02,0.9778,18.07
campaign_144,25,999.95,0.9630,40.00
campaign_201,101,952.63,0.9375,9.43
campaign_284,41,949.55,1.0000,23.16
campaign_74,76,927.90,0.9615,12.21
campaign_452,76,907.69,1.0000,11.94
campaign_459,83,903.97,0.9958,10.89
campaign_148,41,899.45,0.7500,21.94
campaign_553,34,882.32,0.9861,25.95
campaign_44,59,881.73,1.0000,14.94
campaign_276,19,879.42,1.0000,46.29
campaign_551,33,876.56,1.0000,26.56
campaign_116,30,873.95,0.8857,29.13
campaign_103,66,858.19,0.9861,13.00
campaign_336,140,852.25,0.9722,6.09
campaign_193,53,840.39,0.7237,15.86
campaign_130,21,836.50,0.9583,39.83
campaign_563,31,830.99,0.9000,26.81
campaign_564,21,814.47,0.8750,38.78
campaign_451,26,804.26,0.9833,30.93
