acquisition_date,timestamp,source,campaign,creative,payments_0d,payments_3d,payments_7d,ltv_0d,ltv_3d,ltv_7d
10-04-26,10-04-26 8:55,fb,campaign_1,creative_1,0,2,2,0,20.42886888,20.42886888
10-04-26,10-04-26 8:55,fb,campaign_1,creative_2,0,1,1,0,17.74133951,17.74133951
10-04-26,10-04-26 8:55,fb,campaign_1,creative_3,0,1,1,0,32.82133619,32.82133619
10-04-26,10-04-26 8:55,fb,campaign_1,creative_1,0,1,1,0,34.84238827,34.84238827
10-04-26,10-04-26 8:55,fb,campaign_2,creative_4,0,1,1,0,25.77881991,25.77881991
10-04-26,10-04-26 8:55,fb,campaign_2,creative_1,0,1,1,0,42.02769601,42.02769601
10-04-26,10-04-26 8:55,fb,campaign_2,creative_3,1,0,0,0,0,0
10-04-26,10-04-26 8:55,fb,campaign_2,creative_1,0,1,1,0,97.91679962,97.91679962
10-04-26,10-04-26 8:55,fb,campaign_2,creative_5,0,1,1,0,57.54519972,57.54519972
10-04-26,10-04-26 8:55,fb,campaign_3,creative_6,1,1,1,0,28.9676651,28.9676651
10-04-26,10-04-26 8:55,fb,campaign_3,creative_7,0,1,1,0,34.84238827,34.84238827
10-04-26,10-04-26 8:55,fb,campaign_3,creative_8,0,1,1,0,71.3165444,71.3165444
10-04-26,10-04-26 8:55,fb,campaign_3,creative_9,1,0,0,0,0,0
10-04-26,10-04-26 8:55,fb,campaign_3,creative_6,1,0,0,0,0,0
10-04-26,10-04-26 8:55,fb,campaign_4,creative_6,0,1,1,0,83.93388521,83.93388521
10-04-26,10-04-26 8:55,fb,campaign_4,creative_10,0,1,1,0,56.81281768,56.81281768
10-04-26,10-04-26 8:55,fb,campaign_4,creative_10,0,1,1,0,27.92863761,27.92863761
10-04-26,10-04-26 8:55,fb,campaign_4,creative_6,0,1,1,0,27.92863761,27.92863761
10-04-26,10-04-26 8:55,fb,campaign_4,creative_6,0,1,1,0,32.57493349,32.57493349
10-04-26,10-04-26 8:55,fb,campaign_4,creative_11,0,1,1,0,22.15865032,22.15865032
10-04-26,10-04-26 8:55,fb,campaign_5,creative_5,0,1,3,0,24.28802269,44.54323943
10-04-26,10-04-26 8:55,fb,campaign_5,creative_12,1,2,5,0,46.35147047,47.96102125
10-04-26,10-04-26 8:55,fb,campaign_5,creative_13,0,1,1,0,55.45951128,55.45951128
10-04-26,10-04-26 8:55,fb,campaign_5,creative_14,0,0,1,0,0,32.97026972
10-04-26,10-04-26 8:55,fb,campaign_5,creative_1,0,1,4,0,49.86447148,51.53576291
10-04-26,10-04-26 8:55,fb,campaign_5,creative_4,0,0,2,0,0,41.37175664
10-04-26,10-04-26 8:55,fb,campaign_5,creative_3,0,1,2,0,25.77881991,30.34917777
10-04-26,10-04-26 8:55,fb,campaign_6,creative_15,0,0,1,0,0,34.91953563
10-04-26,10-04-26 8:55,fb,campaign_7,creative_10,1,1,3,0,71.3165444,61.40347913
10-04-26,10-04-26 8:55,fb,campaign_7,creative_16,0,0,1,0,0,62.13562266
10-04-26,10-04-26 8:55,fb,campaign_7,creative_9,0,0,1,0,0,27.70524614
10-04-26,10-04-26 8:55,fb,campaign_7,creative_17,0,0,1,0,0,40.72885927
10-04-26,10-04-26 8:55,fb,campaign_7,creative_18,0,0,2,0,0,30.13407506
10-04-26,10-04-26 8:55,fb,campaign_7,creative_19,0,0,2,0,0,40.53516907
10-04-26,10-04-26 8:55,fb,campaign_7,creative_20,0,1,1,0,35.58130154,35.58130154
10-04-26,10-04-26 8:55,fb,campaign_7,creative_7,0,4,6,0,29.82910423,30.34790713
10-04-26,10-04-26 8:55,fb,campaign_7,creative_6,0,0,3,0,0,39.0815183
10-04-26,10-04-26 8:55,fb,campaign_7,creative_21,0,0,2,0,0,102.3432614
10-04-26,10-04-26 8:55,fb,campaign_8,creative_22,0,0,2,0,0,36.19379755
10-04-26,10-04-26 8:55,fb,campaign_8,creative_23,0,0,2,0,0,52.57772468
10-04-26,10-04-26 8:55,fb,campaign_8,creative_24,0,0,1,0,0,44.27750589
10-04-26,10-04-26 8:55,fb,campaign_8,creative_25,0,0,3,0,0,54.23427134
10-04-26,10-04-26 8:55,fb,campaign_8,creative_26,0,0,1,0,0,25.77881991
10-04-26,10-04-26 8:55,fb,campaign_9,creative_27,0,0,1,0,0,57.24941842
10-04-26,10-04-26 8:55,fb,campaign_10,creative_28,0,0,1,0,0,49.86447148
10-04-26,10-04-26 8:55,fb,campaign_11,creative_29,0,0,1,0,0,39.97893123
10-04-26,10-04-26 8:55,fb,campaign_12,creative_30,0,0,1,0,0,21.37723977
10-04-26,10-04-26 8:55,fb,campaign_12,creative_31,0,0,1,0,0,79.66511801
10-04-26,10-04-26 8:55,fb,campaign_13,creative_32,1,0,0,0,0,0
10-04-26,10-04-26 8:55,fb,campaign_14,creative_33,0,1,1,0,21.83622498,21.83622498
10-04-26,10-04-26 8:55,fb,campaign_15,creative_34,1,2,2,0,28.19077445,28.19077445
10-04-26,10-04-26 8:55,fb,campaign_15,creative_35,0,1,1,0,36.63117875,36.63117875
10-04-26,10-04-26 8:55,fb,campaign_16,creative_36,1,3,3,0,33.89296231,33.89296231
10-04-26,10-04-26 8:55,fb,campaign_16,creative_37,0,1,1,0,28.83247326,28.83247326
10-04-26,10-04-26 8:55,fb,campaign_16,creative_38,0,1,1,0,37.30529708,37.30529708
10-04-26,10-04-26 8:55,fb,campaign_16,creative_36,2,0,0,0,0,0
10-04-26,10-04-26 8:55,fb,campaign_16,creative_39,0,3,3,0,20.36266006,20.36266006
10-04-26,10-04-26 8:55,fb,campaign_16,creative_34,1,4,4,0,31.87510195,31.87510195
10-04-26,10-04-26 8:55,fb,campaign_16,creative_35,2,0,0,0,0,0
10-04-26,10-04-26 8:55,fb,campaign_16,creative_34,0,3,3,0,26.82847247,26.82847247
10-04-26,10-04-26 8:55,fb,campaign_17,creative_40,0,0,1,0,0,56.6170119
10-04-26,10-04-26 8:55,fb,campaign_18,creative_41,0,0,2,0,0,22.82047089
10-04-26,10-04-26 8:55,fb,campaign_19,creative_42,0,1,3,0,44.79656262,30.88097427
10-04-26,10-04-26 8:55,fb,campaign_19,creative_43,0,1,2,0,19.01388692,19.01388692
10-04-26,10-04-26 8:55,fb,campaign_19,creative_33,0,3,15,0,23.05397073,33.05960504
10-04-26,10-04-26 8:55,fb,campaign_19,creative_43,0,0,2,0,0,46.54206027
10-04-26,10-04-26 8:55,fb,campaign_19,creative_44,0,0,1,0,0,22.82047089
10-04-26,10-04-26 8:55,fb,campaign_19,creative_33,0,5,17,0,24.19480254,32.8177781
10-04-26,10-04-26 8:55,fb,campaign_19,creative_42,0,0,8,0,0,26.33982819
10-04-26,10-04-26 8:55,fb,campaign_20,creative_45,0,0,3,0,0,22.93693072
10-04-26,10-04-26 8:55,fb,campaign_21,creative_46,0,0,2,0,0,19.01388692
10-04-26,10-04-26 8:55,fb,campaign_21,creative_47,0,0,1,0,0,44.10367101
10-04-26,10-04-26 8:55,fb,campaign_21,creative_48,0,2,8,0,27.6283491,27.88770055
10-04-26,10-04-26 8:55,fb,campaign_21,creative_49,0,0,3,0,0,26.16073704
10-04-26,10-04-26 8:55,fb,campaign_21,creative_50,0,2,8,0,33.442989,26.34135301
10-04-26,10-04-26 8:55,fb,campaign_21,creative_51,0,0,2,0,0,35.37095333
10-04-26,10-04-26 8:55,fb,campaign_22,creative_52,0,0,1,0,0,37.30529708
10-04-26,10-04-26 8:55,fb,campaign_23,creative_53,0,2,8,0,18.5960491,26.72035227
10-04-26,10-04-26 8:55,fb,campaign_23,creative_54,0,4,8,0,30.4072883,31.67250499
10-04-26,10-04-26 8:55,fb,campaign_23,creative_55,0,0,1,0,0,19.01388692
10-04-26,10-04-26 8:55,fb,campaign_23,creative_54,0,5,7,0,29.35133768,27.48537574
10-04-26,10-04-26 8:55,fb,campaign_23,creative_55,0,2,3,0,34.81809844,39.18587755
10-04-26,10-04-26 8:55,fb,campaign_23,creative_56,0,0,1,0,0,22.82047089
