campaign,total_payments,total_ltv,avg_late_payment_share,monetization_efficiency,campaign_tier
campaign_151,186,6248.97,0.9813,33.60,Scale
campaign_432,176,4706.71,0.9640,26.74,Scale
campaign_149,150,4163.01,1.0000,27.75,Scale
campaign_38,194,2827.56,0.8879,14.58,Optimize
campaign_202,168,2563.18,0.9943,15.26,Optimize
campaign_436,62,2317.84,1.0000,37.38,Scale
campaign_35,121,2251.14,0.9000,18.60,Optimize
campaign_285,123,2188.84,0.9506,17.80,Optimize
campaign_369,190,2163.33,0.9525,11.39,Hold
campaign_207,160,2073.67,0.9750,12.96,Optimize
campaign_71,124,2004.46,0.9548,16.17,Optimize
campaign_138,111,1987.46,0.9381,17.91,Optimize
campaign_545,67,1962.90,1.0000,29.30,Optimize
campaign_357,130,1934.04,0.9561,14.88,Optimize
campaign_84,38,1896.32,0.9111,49.90,Optimize
campaign_195,112,1863.50,0.9589,16.64,Optimize
campaign_192,106,1848.11,0.9667,17.44,Optimize
campaign_156,115,1698.88,1.0000,14.77,Optimize
campaign_60,98,1602.22,0.9218,16.35,Optimize
campaign_190,85,1572.14,0.9048,18.50,Optimize
campaign_191,97,1465.27,0.9659,15.11,Optimize
campaign_196,159,1464.82,0.9255,9.21,Hold
campaign_139,74,1456.56,0.9251,19.68,Optimize
campaign_136,122,1437.25,0.9957,11.78,Hold
campaign_455,119,1404.08,0.9966,11.80,Hold
campaign_140,131,1379.05,0.9668,10.53,Hold
campaign_287,56,1341.38,0.9069,23.95,Optimize
campaign_456,112,1325.13,0.9761,11.83,Hold
campaign_83,29,1324.76,0.9091,45.68,Optimize
campaign_388,38,1319.90,1.0000,34.73,Optimize
campaign_324,112,1278.20,1.0000,11.41,Hold
campaign_203,154,1254.94,0.9954,8.15,Hold
campaign_298,51,1252.40,0.9143,24.56,Optimize
campaign_53,55,1219.80,1.0000,22.18,Optimize
campaign_52,64,1175.84,1.0000,18.37,Optimize
campaign_446,97,1175.12,0.9965,12.11,Optimize
campaign_143,24,1164.32,1.0000,48.51,Optimize
campaign_204,112,1136.49,0.9808,10.15,Hold
campaign_59,50,1134.13,1.0000,22.68,Optimize
campaign_570,31,1131.44,0.9231,36.50,Optimize
campaign_142,30,1121.34,1.0000,37.38,Optimize
campaign_565,57,1119.11,0.8459,19.63,Optimize
campaign_124,49,1116.12,0.8429,22.78,Optimize
campaign_125,27,1107.77,0.9800,41.03,Optimize
campaign_327,164,1081.89,0.9847,6.60,Hold
campaign_561,40,1051.09,0.7969,26.28,Optimize
campaign_468,36,1048.52,1.0000,29.13,Optimize
campaign_141,24,1023.98,0.9467,42.67,Optimize
campaign_55,56,1012.02,0.9778,18.07,Optimize
campaign_144,25,999.95,0.9630,40.00,Hold
campaign_201,101,952.63,0.9375,9.43,Hold
campaign_284,41,949.55,1.0000,23.16,Hold
campaign_74,76,927.90,0.9615,12.21,Hold
campaign_452,76,907.69,1.0000,11.94,Hold
campaign_459,83,903.97,0.9958,10.89,Hold
campaign_148,41,899.45,0.7500,21.94,Hold
campaign_553,34,882.32,0.9861,25.95,Hold
campaign_44,59,881.73,1.0000,14.94,Hold
campaign_276,19,879.42,1.0000,46.29,Hold
campaign_551,33,876.56,1.0000,26.56,Hold
campaign_116,30,873.95,0.8857,29.13,Hold
campaign_103,66,858.19,0.9861,13.00,Hold
campaign_336,140,852.25,0.9722,6.09,Hold
campaign_193,53,840.39,0.7237,15.86,Hold
campaign_130,21,836.50,0.9583,39.83,Hold
campaign_563,31,830.99,0.9000,26.81,Hold
campaign_564,21,814.47,0.8750,38.78,Hold
campaign_451,26,804.26,0.9833,30.93,Hold
campaign_137,51,801.36,1.0000,15.71,Hold
campaign_467,50,798.72,0.9510,15.97,Hold
campaign_272,40,776.18,1.0000,19.40,Hold
campaign_364,76,770.60,0.9973,10.14,Hold
campaign_123,40,761.46,0.7863,19.04,Hold
campaign_189,35,759.21,1.0000,21.69,Hold
campaign_186,108,755.51,0.9855,7.00,Hold
campaign_554,33,737.90,0.9583,22.36,Hold
campaign_378,31,736.06,1.0000,23.74,Hold
campaign_281,41,734.88,0.9583,17.92,Hold
campaign_454,51,728.08,0.9881,14.28,Hold
campaign_371,28,727.20,1.0000,25.97,Hold
campaign_437,38,708.56,1.0000,18.65,Hold
campaign_152,22,707.34,1.0000,32.15,Hold
campaign_557,31,702.92,1.0000,22.67,Hold
campaign_433,13,692.21,0.8333,53.25,Hold
campaign_63,44,684.71,1.0000,15.56,Hold
campaign_199,60,683.84,1.0000,11.40,Hold
campaign_321,54,682.77,0.9780,12.64,Hold
campaign_87,157,666.64,0.9953,4.25,Hold
campaign_28,29,665.77,0.9796,22.96,Hold
campaign_104,11,659.47,0.9333,59.95,Hold
campaign_100,17,654.87,1.0000,38.52,Hold
campaign_224,42,653.75,1.0000,15.57,Hold
campaign_30,35,650.25,1.0000,18.58,Hold
campaign_42,48,646.76,0.9714,13.47,Hold
campaign_95,50,646.26,1.0000,12.93,Hold
campaign_345,29,645.46,0.7778,22.26,Hold
campaign_522,26,642.90,1.0000,24.73,Hold
campaign_315,48,637.81,0.9896,13.29,Hold
campaign_314,36,632.62,1.0000,17.57,Hold
campaign_37,54,622.04,0.8961,11.52,Hold
campaign_173,52,610.37,1.0000,11.74,Hold
campaign_346,37,608.89,1.0000,16.46,Hold
campaign_524,22,607.26,1.0000,27.60,Hold
campaign_7,29,606.72,0.9800,20.92,Hold
campaign_78,38,599.96,1.0000,15.79,Hold
campaign_384,49,586.50,0.9427,11.97,Hold
campaign_366,30,583.14,0.9583,19.44,Hold
campaign_216,71,571.56,1.0000,8.05,Hold
campaign_99,45,570.69,1.0000,12.68,Hold
campaign_91,29,570.42,1.0000,19.67,Hold
campaign_361,31,556.07,1.0000,17.94,Hold
campaign_306,41,549.57,0.9896,13.40,Hold
campaign_111,34,549.11,0.9500,16.15,Hold
campaign_449,29,545.88,1.0000,18.82,Hold
campaign_187,32,535.67,0.8333,16.74,Hold
campaign_41,49,525.52,0.9167,10.72,Hold
campaign_289,20,525.25,1.0000,26.26,Hold
campaign_316,24,521.95,1.0000,21.75,Hold
campaign_198,26,521.07,1.0000,20.04,Hold
campaign_450,38,518.54,1.0000,13.65,Hold
campaign_122,27,513.34,0.8571,19.01,Hold
campaign_180,22,508.73,1.0000,23.12,Hold
campaign_194,29,507.08,0.9000,17.49,Hold
campaign_5,25,505.93,0.9821,20.24,Hold
campaign_131,12,503.23,1.0000,41.94,Hold
campaign_4,12,502.68,1.0000,41.89,Hold
campaign_271,56,497.58,0.9967,8.89,Cut
campaign_160,21,496.03,1.0000,23.62,Cut
campaign_566,20,493.17,0.9778,24.66,Cut
campaign_257,19,490.70,0.9636,25.83,Cut
campaign_165,30,490.14,0.8241,16.34,Cut
campaign_354,30,488.35,1.0000,16.28,Cut
campaign_311,63,485.00,0.9949,7.70,Cut
campaign_359,45,476.64,1.0000,10.59,Cut
campaign_568,24,476.26,0.9792,19.84,Cut
campaign_462,38,470.99,0.9304,12.39,Cut
campaign_109,42,470.27,0.9891,11.20,Cut
campaign_331,22,467.69,0.9000,21.26,Cut
campaign_150,17,467.08,1.0000,27.48,Cut
campaign_259,22,466.36,0.9444,21.20,Cut
campaign_291,16,466.01,1.0000,29.13,Cut
campaign_155,20,465.00,1.0000,23.25,Cut
campaign_101,20,462.37,1.0000,23.12,Cut
campaign_161,30,461.87,0.9167,15.40,Cut
campaign_273,16,459.82,1.0000,28.74,Cut
campaign_353,50,456.32,0.9696,9.13,Cut
campaign_118,74,453.32,0.9968,6.13,Cut
campaign_23,66,451.75,1.0000,6.84,Cut
campaign_2,9,446.54,0.8000,49.62,Cut
campaign_182,46,440.83,0.9393,9.58,Cut
campaign_350,32,440.19,1.0000,13.76,Cut
campaign_382,39,435.71,1.0000,11.17,Cut
campaign_107,25,430.77,1.0000,17.23,Cut
campaign_185,27,430.13,0.9375,15.93,Cut
campaign_106,53,430.02,0.9760,8.11,Cut
campaign_174,31,425.12,0.9583,13.71,Cut
campaign_334,54,423.23,0.9618,7.84,Cut
campaign_302,60,421.11,1.0000,7.02,Cut
campaign_418,28,415.92,1.0000,14.85,Cut
campaign_555,11,415.19,0.8750,37.74,Cut
