creative,campaign_count,avg_efficiency,min_efficiency,max_efficiency,efficiency_variation
creative_327,19,18.44,2.72,55.46,14.85
creative_332,17,24.21,3.79,73.97,22.79
creative_324,16,17.14,7.00,35.58,9.16
creative_326,13,25.59,0.00,52.21,15.24
creative_330,13,31.47,6.30,58.54,15.62
creative_331,13,30.27,4.37,106.80,27.21
creative_521,12,23.20,4.80,46.39,12.52
creative_339,11,29.90,0.00,63.80,18.12
creative_524,11,38.11,19.19,99.41,26.67
creative_520,10,27.74,0.00,50.41,15.09
creative_343,10,28.56,0.00,55.46,15.72
creative_325,10,32.45,8.64,67.81,16.59
creative_519,10,31.56,4.45,55.49,17.29
creative_523,9,22.79,0.00,57.55,19.66
creative_329,9,25.31,1.20,81.46,25.11
creative_463,9,37.41,4.33,86.43,33.44
creative_502,8,27.32,8.52,44.80,12.86
creative_644,8,25.10,3.27,52.23,16.23
creative_328,8,22.07,5.89,52.70,17.03
creative_335,8,27.73,0.00,60.57,17.46
creative_466,8,16.32,2.31,47.92,18.32
creative_525,7,27.89,13.07,41.47,10.79
creative_639,7,22.94,8.98,38.13,10.95
creative_338,7,17.77,0.00,43.56,18.89
creative_512,6,15.85,4.97,28.29,8.02
creative_373,6,33.42,19.99,45.22,10.26
creative_640,6,29.98,18.17,47.59,12.91
creative_1043,6,21.41,7.87,47.59,13.52
creative_1097,6,25.40,11.28,47.18,14.51
creative_497,6,15.99,5.59,44.80,14.80
creative_340,6,25.74,5.68,52.94,16.48
creative_336,6,33.38,0.00,46.35,17.70
creative_454,6,32.31,8.60,70.04,21.98
creative_708,6,44.38,17.81,73.76,26.04
creative_513,5,15.55,9.38,23.39,6.22
creative_1039,5,15.83,5.95,27.46,8.93
creative_822,5,21.68,7.28,31.68,9.01
creative_645,5,35.76,22.30,47.59,9.72
creative_333,5,25.24,15.12,47.37,12.69
creative_350,5,20.27,9.07,34.92,12.92
creative_358,5,32.88,10.06,47.54,14.91
creative_456,5,41.33,22.82,59.24,14.97
creative_83,5,29.94,7.32,50.41,17.84
creative_1040,5,15.13,1.52,53.36,21.53
creative_821,5,18.82,5.47,61.97,24.25
creative_371,5,35.93,19.69,77.73,24.55
creative_315,5,31.41,6.52,66.90,24.89
creative_509,5,23.13,3.44,67.76,26.02
creative_746,5,22.72,2.39,68.68,27.51
creative_804,5,28.83,4.39,68.68,32.25
creative_342,5,37.38,0.00,73.25,32.50
creative_584,4,2.44,0.44,4.91,2.08
creative_498,4,19.68,14.07,22.82,4.15
creative_1312,4,23.11,15.71,28.72,6.20
creative_1152,4,4.92,0.35,16.32,7.66
creative_501,4,14.24,7.10,22.82,7.68
creative_503,4,10.99,5.30,22.82,8.05
creative_381,4,45.99,37.75,57.42,8.64
creative_510,4,17.45,7.48,27.30,9.21
creative_370,4,30.97,24.85,44.83,9.33
creative_33,4,10.97,2.83,21.84,9.57
creative_860,4,20.30,9.60,33.86,10.14
creative_81,4,17.16,4.21,29.04,10.69
creative_351,4,34.27,24.61,50.41,11.27
creative_374,4,40.08,27.85,51.02,12.36
creative_828,4,13.81,3.03,28.87,12.38
creative_383,4,35.15,21.22,52.67,13.03
creative_541,4,47.95,31.41,60.57,14.61
creative_1041,4,35.33,18.56,50.41,14.76
creative_1311,4,20.99,0.00,34.92,14.84
creative_856,4,11.74,2.74,34.19,15.02
creative_593,4,14.97,1.42,36.67,15.78
creative_375,4,34.13,17.81,53.99,16.17
creative_1308,4,25.19,9.27,50.41,18.04
creative_367,4,47.40,28.28,71.32,18.23
creative_710,4,14.17,2.69,41.41,18.27
creative_337,4,26.48,0.00,43.85,18.75
creative_543,4,44.88,28.51,75.10,20.79
creative_592,4,17.60,1.20,46.81,21.26
creative_526,4,34.51,6.38,60.57,22.29
creative_678,4,34.92,16.80,67.81,22.96
creative_368,4,48.92,23.51,71.32,23.33
creative_364,4,44.00,23.00,71.32,24.76
creative_499,4,40.58,14.05,62.78,25.82
creative_855,4,42.03,28.14,82.19,26.78
creative_353,4,25.83,5.51,62.37,26.85
creative_372,4,49.67,25.26,75.10,27.24
creative_249,4,35.42,8.81,74.07,28.40
creative_851,4,24.17,3.77,74.07,33.37
creative_45,4,41.43,7.65,74.07,34.32
creative_59,4,60.36,22.82,108.06,39.01
